{'Epoch': 182, 'loss': 0.4437,'accuracy': 0.8901 },
{'Epoch': 183, 'loss': 0.4379,'accuracy': 0.8889 },
{'Epoch': 184, 'loss': 0.4329,'accuracy': 0.8921 },
{'Epoch': 185, 'loss': 0.4310,'accuracy': 0.8912 },
{'Epoch': 186, 'loss': 0.4345,'accuracy': 0.8901 },
{'Epoch': 187, 'loss': 0.4327,'accuracy': 0.8907 },
{'Epoch': 188, 'loss': 0.4307,'accuracy': 0.8895 },
{'Epoch': 189, 'loss': 0.4253,'accuracy': 0.8925 },
{'Epoch': 190, 'loss': 0.4342,'accuracy': 0.8887 },
{'Epoch': 191, 'loss': 0.4335,'accuracy': 0.8898 },
{'Epoch': 192, 'loss': 0.4268,'accuracy': 0.8930 },
{'Epoch': 193, 'loss': 0.4249,'accuracy': 0.8917 },
{'Epoch': 194, 'loss': 0.4227,'accuracy': 0.8924 },
{'Epoch': 195, 'loss': 0.4217,'accuracy': 0.8918 },
{'Epoch': 196, 'loss': 0.4224,'accuracy': 0.8913 },
{'Epoch': 197, 'loss': 0.4216,'accuracy': 0.8904 },
{'Epoch': 198, 'loss': 0.4201,'accuracy': 0.8926 },
{'Epoch': 199, 'loss': 0.4209,'accuracy': 0.8909 },
{'Epoch': 200, 'loss': 0.4225,'accuracy': 0.8906 },
{'Epoch': 201, 'loss': 0.4178,'accuracy': 0.8917 },
{'Epoch': 202, 'loss': 0.4208,'accuracy': 0.8931 },
{'Epoch': 203, 'loss': 0.4131,'accuracy': 0.8924 },
{'Epoch': 204, 'loss': 0.4173,'accuracy': 0.8896 },
{'Epoch': 205, 'loss': 0.4147,'accuracy': 0.8913 },
{'Epoch': 206, 'loss': 0.4149,'accuracy': 0.8921 },
{'Epoch': 207, 'loss': 0.4119,'accuracy': 0.8912 },
{'Epoch': 208, 'loss': 0.4123,'accuracy': 0.8926 },
{'Epoch': 209, 'loss': 0.4057,'accuracy': 0.8925 },
{'Epoch': 210, 'loss': 0.4084,'accuracy': 0.8907 },
{'Epoch': 211, 'loss': 0.4102,'accuracy': 0.8922 },
{'Epoch': 212, 'loss': 0.4056,'accuracy': 0.8925 },
{'Epoch': 213, 'loss': 0.4074,'accuracy': 0.8900 },
{'Epoch': 214, 'loss': 0.4061,'accuracy': 0.8904 },
{'Epoch': 215, 'loss': 0.4016,'accuracy': 0.8925 },
{'Epoch': 216, 'loss': 0.4099,'accuracy': 0.8900 },
{'Epoch': 217, 'loss': 0.4074,'accuracy': 0.8912 },
{'Epoch': 218, 'loss': 0.4071,'accuracy': 0.8943 },
{'Epoch': 219, 'loss': 0.4050,'accuracy': 0.8923 },
{'Epoch': 220, 'loss': 0.4047,'accuracy': 0.8924 },
{'Epoch': 221, 'loss': 0.3970,'accuracy': 0.8931 },
{'Epoch': 222, 'loss': 0.3981,'accuracy': 0.8933 },
{'Epoch': 223, 'loss': 0.4000,'accuracy': 0.8913 },
{'Epoch': 224, 'loss': 0.3944,'accuracy': 0.8928 },
{'Epoch': 225, 'loss': 0.3955,'accuracy': 0.8924 },
{'Epoch': 226, 'loss': 0.3945,'accuracy': 0.8915 },
{'Epoch': 227, 'loss': 0.3969,'accuracy': 0.8910 },
{'Epoch': 228, 'loss': 0.3991,'accuracy': 0.8905 },
{'Epoch': 229, 'loss': 0.3964,'accuracy': 0.8902 },
{'Epoch': 230, 'loss': 0.3966,'accuracy': 0.8911 },
{'Epoch': 231, 'loss': 0.4008,'accuracy': 0.8922 },
{'Epoch': 232, 'loss': 0.3958,'accuracy': 0.8930 },
{'Epoch': 233, 'loss': 0.3918,'accuracy': 0.8921 },
{'Epoch': 234, 'loss': 0.3895,'accuracy': 0.8905 },
{'Epoch': 235, 'loss': 0.3899,'accuracy': 0.8914 },
{'Epoch': 236, 'loss': 0.3876,'accuracy': 0.8932 },
{'Epoch': 237, 'loss': 0.3851,'accuracy': 0.8919 },
{'Epoch': 238, 'loss': 0.3906,'accuracy': 0.8905 },
{'Epoch': 239, 'loss': 0.3913,'accuracy': 0.8924 },
{'Epoch': 240, 'loss': 0.3876,'accuracy': 0.8915 },
{'Epoch': 241, 'loss': 0.3839,'accuracy': 0.8927 },
{'Epoch': 242, 'loss': 0.3845,'accuracy': 0.8917 },
{'Epoch': 243, 'loss': 0.3823,'accuracy': 0.8933 },
{'Epoch': 244, 'loss': 0.3831,'accuracy': 0.8927 },
{'Epoch': 245, 'loss': 0.3851,'accuracy': 0.8913 },
{'Epoch': 246, 'loss': 0.3795,'accuracy': 0.8935 },
{'Epoch': 247, 'loss': 0.3861,'accuracy': 0.8913 },
{'Epoch': 248, 'loss': 0.3855,'accuracy': 0.8901 },
{'Epoch': 249, 'loss': 0.3839,'accuracy': 0.8914 },
{'Epoch': 250, 'loss': 0.3867,'accuracy': 0.8905 }
